index	offset	duration	start	timeline	subject	n_events
0		1.0	0.0	default		3
1		1.0	1.0	default		7
2		1.0	2.0	default		6
3		1.0	3.0	default		4
4		1.0	4.0	default		7
5		1.0	5.0	default		7
6		1.0	6.0	default		8
7		1.0	7.0	default		8
8		1.0	8.0	default		8
9		1.0	9.0	default		7
10		1.0	10.0	default		8
11		1.0	11.0	default		9
12		1.0	12.0	default		8
13		1.0	13.0	default		7
14		1.0	14.0	default		8
15		1.0	15.0	default		10
16		1.0	16.0	default		9
17		1.0	17.0	default		9
18		1.0	18.0	default		9
19		1.0	19.0	default		7
